Company,Website,Location,Contact Name,Title,Email,Phone,Personalization Angle,Website Observation,Outreach Variant,Status,Notes
Gascoigne Halman,gascoignehalman.co.uk,Manchester,,,"manchester@gascoignehalman.co.uk",,"Cheshire + Manchester","Affluent suburbs",V1 - Valuation Focus,Pending,Cheshire connections
Bridgfords,bridgfords.co.uk,Manchester,,,"manchester@bridgfords.co.uk",,"Northern Powerhouse","Growth region",V1 - Valuation Focus,Pending,Northern focus
Savills Manchester,savills.co.uk,Manchester,,,"manchester@savills.co.uk",,"Commercial + residential","Mixed use",V4 - Scale Angle,Research,Commercial link
Knight Frank Manchester,knightfrank.co.uk,Manchester,,,"manchester@knightfrank.co.uk",,"City centre","New developments",V4 - Scale Angle,Research,Development focus
Jackson Stops,jackson-stops.co.uk,Leeds,,,"leeds@jackson-stops.co.uk",,"Yorkshire dales","Country + city",V4 - Scale Angle,Research,Country connections
Manning Stainton,manningstainton.co.uk,Leeds,,,"leeds@manningstainton.co.uk",,"Yorkshire's largest","Regional leader",V1 - Valuation Focus,Pending,Regional leader
Hunters,hunters.com,Leeds,,,"leeds@hunters.com",,"Franchise network","Local owners",V4 - Scale Angle,Research,Franchise model
Linley & Simpson,linleyandsimpson.co.uk,Leeds,,,"leeds@linleyandsimpson.co.uk",,"Yorkshire independent","Family feel",V1 - Valuation Focus,Pending,Independent
Reeds Rains,reedsrains.co.uk,Newcastle,,,"newcastle@reedsrains.co.uk",,"North East","Established 1868",V1 - Valuation Focus,Research,Heritage brand
Bradley Hall,bradleyhall.co.uk,Newcastle,,,"newcastle@bradleyhall.co.uk",,"Tyneside specialist","Commercial + residential",V1 - Valuation Focus,Pending,Commercial link
Pattinson,pattinson.co.uk,Newcastle,,,"newcastle@pattinson.co.uk",,"North East focus","Auction specialist",V1 - Valuation Focus,Pending,Auctions
Sanderson Young,sandersonyoung.co.uk,Newcastle,,,"newcastle@sandersonyoung.co.uk",,"Independent","Residential focus",V1 - Valuation Focus,Pending,Independent
Fine & Country,fineandcountry.com,London Mayfair,,,"mayfair@fineandcountry.com",,"Luxury homes","International marketing",V4 - Scale Angle,Pending,Luxury focus
Fine & Country,fineandcountry.com,London Kensington,,,"kensington@fineandcountry.com",,"Prime Central","Design-led",V4 - Scale Angle,Pending,Design focus
Chestertons Country,chestertons.co.uk,Surrey,,,"country@chestertons.co.uk",,"Surrey villages","Commutable",V2 - Website Observation,Pending,Commuter belt
Savills Guildford,savills.co.uk,Guildford,,,"guildford@savills.co.uk",,"Surrey Hills","Affluent",V4 - Scale Angle,Research,Surrey market
Knight Frank Guildford,knightfrank.co.uk,Guildford,,,"guildford@knightfrank.co.uk",,"Market town","Schools",V4 - Scale Angle,Research,School catchments
Hamptons Winchester,hamptons.co.uk,Winchester,,,"winchester@hamptons.co.uk",,"Historic city","Cathedral city",V4 - Scale Angle,Research,Historic
Savills Winchester,savills.co.uk,Winchester,,,"winchester@savills.co.uk",,"Hampshire downs","Rural estates",V4 - Scale Angle,Research,Rural focus
Knight Frank Salisbury,knightfrank.co.uk,Salisbury,,,"salisbury@knightfrank.co.uk",,"Wiltshire","Stonehenge area",V4 - Scale Angle,Research,Heritage area
Savills Canterbury,savills.co.uk,Canterbury,,,"canterbury@savills.co.uk",,"Kent countryside","Cathedral city",V4 - Scale Angle,Research,Kent focus
Strutt & Parker,struttandparker.com,Oxford,,,"oxford@struttandparker.com",,"University town","Academic + professional",V4 - Scale Angle,Research,University
Savills Oxford,savills.co.uk,Oxford,,,"oxford@savills.co.uk",,"Cotswolds gateway","Period properties",V4 - Scale Angle,Research,Cotswolds
Knight Frank Oxford,knightfrank.co.uk,Oxford,,,"oxford@knightfrank.co.uk",,"Dreaming spires","Premium market",V4 - Scale Angle,Research,Premium
Carter Jonas,carterjonas.co.uk,Oxford,,,"oxford@carterjonas.co.uk",,"Rural + university","Diversified",V4 - Scale Angle,Research,Diversified
Savills Cotswolds,savills.co.uk,Cirencester,,,"cotswolds@savills.co.uk",,"Country estates","Equestrian",V4 - Scale Angle,Research,Country focus
Knight Frank Cotswolds,knightfrank.co.uk,Stow-on-the-Wold,,,"cotswolds@knightfrank.co.uk",,"Market towns","Second homes",V4 - Scale Angle,Research,Second homes
Jackson Stops Cotswolds,jackson-stops.co.uk,Moreton-in-Marsh,,,"cotswolds@jackson-stops.co.uk",,"Village properties","Period homes",V4 - Scale Angle,Research,Village focus
Hamptons Cheltenham,hamptons.co.uk,Cheltenham,,,"cheltenham@hamptons.co.uk",,"Regency town","Festival culture",V4 - Scale Angle,Research,Cultural town
Savills Cheltenham,savills.co.uk,Cheltenham,,,"cheltenham@savills.co.uk",,"Cotswold edge","Commutable",V4 - Scale Angle,Research,Commuter location
Knight Frank Cheltenham,knightfrank.co.uk,Cheltenham,,,"cheltenham@knightfrank.co.uk",,"Independent schools","Family homes",V4 - Scale Angle,Research,Schools
Strutt & Parker,struttandparker.com,Brighton,,,"brighton@struttandparker.com",,"Seaside city","London commuters",V4 - Scale Angle,Research,Coastal
Savills Brighton,savills.co.uk,Brighton,,,"brighton@savills.co.uk",,"Creative hub","Tech scene",V4 - Scale Angle,Research,Creative
Knight Frank Brighton,knightfrank.co.uk,Brighton,,,"brighton@knightfrank.co.uk",,"Seafront","Regency squares",V4 - Scale Angle,Research,Seafront
Mishon Mackay,mishonmackay.com,Brighton,,,"brighton@mishonmackay.com",,"Independent","Local expert",V1 - Valuation Focus,Pending,Independent
Brand Vaughan,brandvaughan.co.uk,Brighton,,,"brighton@brandvaughan.co.uk",,"City centre","New developments",V1 - Valuation Focus,Pending,Developments
Henry Adams,henryadams.co.uk,Portsmouth,,,"portsmouth@henryadams.co.uk",,"South coast","Naval heritage",V1 - Valuation Focus,Pending,Coastal
Fine & Country,fineandcountry.com,Bournemouth,,,"bournemouth@fineandcountry.com",,"Coastal luxury","Retirement market",V4 - Scale Angle,Pending,Coastal luxury
Knight Frank Bournemouth,knightfrank.co.uk,Bournemouth,,,"bournemouth@knightfrank.co.uk",,"Sandy beaches","Family destination",V4 - Scale Angle,Research,Family market
Savills Bournemouth,savills.co.uk,Bournemouth,,,"bournemouth@savills.co.uk",,"Jurassic Coast","Natural beauty",V4 - Scale Angle,Research,Natural beauty
